Time,Level,v_balance,l_profit,in_stepdown,stepdown_level,wins_needed
2026.06.01 06:18,1,21.50,1.50,0,0,0
2026.06.01 15:42,1,17.00,0.00,1,1,2
2026.06.01 18:31,1,19.00,2.00,1,1,1
2026.06.02 00:04,1,19.50,2.50,0,1,0
2026.06.02 11:04,1,21.50,4.50,0,1,0
2026.06.02 17:13,1,23.00,0.00,0,1,0
2026.06.02 19:21,1,24.50,1.50,0,1,0
2026.06.03 08:30,1,19.99,0.00,1,1,2
2026.06.03 13:07,1,18.49,0.00,1,1,2
2026.06.03 16:18,1,20.49,2.00,1,1,1
2026.06.04 04:02,1,26.29,7.80,0,1,0
2026.06.04 17:37,2,27.79,0.00,0,1,0
2026.06.05 03:13,1,21.78,0.00,1,2,2
2026.06.05 08:57,1,23.28,1.50,1,2,1
2026.06.05 15:54,1,29.28,7.50,0,2,0
2026.06.05 16:36,1,24.78,0.00,1,1,2
2026.06.05 19:16,1,30.78,6.00,1,1,1
2026.06.08 00:01,1,36.71,11.93,0,1,0
2026.06.08 03:37,2,42.71,0.00,0,1,0
2026.06.08 04:30,3,50.71,0.00,0,1,0
2026.06.08 10:36,3,53.21,2.50,0,1,0
2026.06.08 12:37,3,55.71,5.00,0,1,0
2026.06.08 14:10,4,65.71,0.00,0,1,0
2026.06.08 17:12,5,79.71,0.00,0,1,0
2026.06.08 21:04,5,84.21,4.50,0,1,0
2026.06.09 05:23,5,88.69,8.98,0,1,0
2026.06.09 09:12,6,106.69,0.00,0,1,0
2026.06.09 10:33,6,90.19,0.00,1,6,2
2026.06.09 17:22,6,95.69,5.50,1,6,1
2026.06.09 18:35,6,79.19,0.00,1,6,2
2026.06.09 19:39,6,101.19,22.00,1,6,1
2026.06.10 00:15,6,106.66,27.47,0,6,0
2026.06.10 08:16,6,90.16,0.00,1,6,2
2026.06.10 14:04,5,73.66,0.00,1,6,2
2026.06.10 15:30,5,91.66,18.00,1,6,1
2026.06.10 16:35,6,78.16,0.00,1,6,2
2026.06.10 18:01,6,83.66,5.50,1,6,1
2026.06.10 18:48,5,67.16,0.00,1,6,2
2026.06.10 20:49,5,71.66,4.50,1,6,1
2026.06.11 02:14,5,58.09,0.00,1,6,2
2026.06.11 05:23,5,62.59,4.50,1,6,1
2026.06.11 15:22,4,49.09,0.00,1,6,2
2026.06.11 19:53,4,52.59,3.50,1,6,1
2026.06.11 20:33,4,66.59,17.50,0,6,0
2026.06.11 22:11,4,56.09,0.00,1,4,2
2026.06.12 06:34,4,59.43,3.34,1,4,1
2026.06.12 09:04,4,62.93,6.84,0,4,0
2026.06.12 10:56,4,66.43,10.34,0,4,0
2026.06.12 18:26,4,55.93,0.00,1,4,2
2026.06.15 00:32,4,69.91,13.98,1,4,1
2026.06.15 03:58,5,59.41,0.00,1,4,2
2026.06.15 09:08,5,63.91,4.50,1,4,1
2026.06.16 07:19,5,81.71,22.30,0,4,0
2026.06.16 13:09,6,99.71,0.00,0,4,0
2026.06.16 16:32,6,105.21,5.50,0,4,0
2026.06.17 16:22,6,110.46,10.75,0,4,0
2026.06.17 21:01,7,132.46,0.00,0,4,0
2026.06.17 21:33,7,139.46,7.00,0,4,0
2026.06.17 21:58,7,118.46,0.00,1,7,2
2026.06.17 22:17,7,146.46,28.00,1,7,1
2026.06.18 03:05,7,125.46,0.00,1,7,2
2026.06.18 05:52,7,104.46,0.00,1,7,2
2026.06.18 11:48,7,132.46,28.00,1,7,1
2026.06.18 17:54,7,160.46,56.00,0,7,0
2026.06.18 20:04,8,167.46,0.00,0,7,0
2026.06.18 22:52,8,176.96,9.50,0,7,0
2026.06.19 07:54,9,214.53,0.00,0,7,0
2026.06.19 09:29,9,262.53,48.00,0,7,0
2026.06.19 16:14,10,274.53,0.00,0,7,0
2026.06.22 03:55,10,289.81,15.28,0,7,0
2026.06.22 05:53,10,305.81,31.28,0,7,0
2026.06.22 13:09,10,321.81,47.28,0,7,0
2026.06.23 03:25,11,385.09,0.00,0,7,0
2026.06.23 06:11,11,467.09,82.00,0,7,0
2026.06.23 09:12,12,405.59,0.00,1,11,2
2026.06.23 14:47,11,324.59,0.00,1,11,2
2026.06.23 19:30,10,263.09,0.00,1,11,2
2026.06.23 21:47,10,215.09,0.00,1,11,2
2026.06.24 04:45,10,231.01,15.92,1,11,1
2026.06.24 09:30,10,247.01,31.92,0,11,0
2026.06.24 12:44,9,199.01,0.00,1,10,2
2026.06.24 15:32,9,211.01,12.00,1,10,1
2026.06.24 21:25,9,223.01,24.00,0,10,0
2026.06.25 00:06,9,185.38,0.00,1,9,2
2026.06.25 05:43,8,149.38,0.00,1,9,2
2026.06.25 12:44,8,158.88,9.50,1,9,1
2026.06.25 15:57,8,168.38,19.00,0,9,0
2026.06.25 17:02,8,177.88,28.50,0,9,0
2026.06.25 18:05,8,149.38,0.00,1,8,2
2026.06.26 04:32,8,186.95,37.57,1,8,1
2026.06.26 09:10,8,196.45,47.07,0,8,0
2026.06.26 17:16,9,234.45,0.00,0,8,0
2026.06.29 00:01,9,198.39,0.00,1,9,2
2026.06.29 17:15,8,162.39,0.00,1,9,2
