Time,Dir,Entry,Exit,Pips,USD,Level,Reason
2026.06.01 00:15,BUY,0.71739,0,0,0,1,PivotLow_Green
2026.06.01 06:30,BUY,0.71841,0,0,0,1,PivotLow_Green
2026.06.01 17:15,BUY,0.71402,0,0,0,1,PivotLow_Green
2026.06.01 19:30,BUY,0.71532,0,0,0,1,PivotLow_Green
2026.06.02 00:15,BUY,0.71637,0,0,0,1,PivotLow_Green
2026.06.02 11:30,SELL,0.71824,0,0,0,1,PivotHigh_Red
2026.06.02 17:15,BUY,0.71765,0,0,0,1,PivotLow_Green
2026.06.02 20:00,BUY,0.71792,0,0,0,1,PivotLow_Green
2026.06.03 10:30,SELL,0.71602,0,0,0,1,PivotHigh_Red
2026.06.03 13:30,SELL,0.71696,0,0,0,1,PivotHigh_Red
2026.06.03 17:30,SELL,0.7146,0,0,0,1,PivotHigh_Red
2026.06.04 04:30,BUY,0.71298,0,0,0,1,PivotLow_Green
2026.06.04 18:00,BUY,0.714,0,0,0,2,PivotLow_Green
2026.06.05 04:45,BUY,0.71144,0,0,0,1,PivotLow_Green
2026.06.05 11:00,SELL,0.71301,0,0,0,1,PivotHigh_Red
2026.06.05 16:15,BUY,0.71075,0,0,0,1,PivotLow_Green
2026.06.05 18:15,SELL,0.70709,0,0,0,1,PivotHigh_Red
2026.06.05 20:15,SELL,0.70569,0,0,0,1,PivotHigh_Red
2026.06.08 00:15,BUY,0.70331,0,0,0,1,PivotLow_Green
2026.06.08 04:15,SELL,0.70572,0,0,0,2,PivotHigh_Red
2026.06.08 04:45,BUY,0.70476,0,0,0,3,PivotLow_Green
2026.06.08 10:45,SELL,0.70533,0,0,0,3,PivotHigh_Red
2026.06.08 12:45,BUY,0.70478,0,0,0,3,PivotLow_Green
2026.06.08 14:45,SELL,0.70722,0,0,0,4,PivotHigh_Red
2026.06.08 18:15,SELL,0.70586,0,0,0,5,PivotHigh_Red
2026.06.08 22:30,BUY,0.70447,0,0,0,5,PivotLow_Green
2026.06.09 06:45,BUY,0.70445,0,0,0,5,PivotLow_Green
2026.06.09 09:15,BUY,0.70661,0,0,0,6,PivotLow_Green
2026.06.09 11:00,SELL,0.70512,0,0,0,6,PivotHigh_Red
2026.06.09 18:00,BUY,0.70413,0,0,0,6,PivotLow_Green
2026.06.09 19:00,SELL,0.70272,0,0,0,6,PivotHigh_Red
2026.06.09 20:00,BUY,0.70165,0,0,0,6,PivotLow_Green
2026.06.10 00:45,BUY,0.70249,0,0,0,6,PivotLow_Green
2026.06.10 08:30,BUY,0.70178,0,0,0,6,PivotLow_Green
2026.06.10 15:00,BUY,0.70009,0,0,0,5,PivotLow_Green
2026.06.10 16:00,SELL,0.70118,0,0,0,5,PivotHigh_Red
2026.06.10 17:00,SELL,0.70297,0,0,0,6,PivotHigh_Red
2026.06.10 18:30,BUY,0.70215,0,0,0,6,PivotLow_Green
2026.06.10 19:45,SELL,0.70212,0,0,0,5,PivotHigh_Red
2026.06.10 22:45,BUY,0.70028,0,0,0,5,PivotLow_Green
2026.06.11 02:30,BUY,0.69963,0,0,0,5,PivotLow_Green
2026.06.11 05:45,BUY,0.70026,0,0,0,5,PivotLow_Green
2026.06.11 16:30,BUY,0.69848,0,0,0,4,PivotLow_Green
2026.06.11 20:30,BUY,0.70041,0,0,0,4,PivotLow_Green
2026.06.11 21:00,SELL,0.70262,0,0,0,4,PivotHigh_Red
2026.06.11 23:00,SELL,0.70476,0,0,0,4,PivotHigh_Red
2026.06.12 07:00,SELL,0.70392,0,0,0,4,PivotHigh_Red
2026.06.12 09:30,SELL,0.70345,0,0,0,4,PivotHigh_Red
2026.06.12 12:00,SELL,0.70408,0,0,0,4,PivotHigh_Red
2026.06.12 19:15,BUY,0.70481,0,0,0,4,PivotLow_Green
2026.06.15 01:00,BUY,0.70828,0,0,0,4,PivotLow_Green
2026.06.15 04:15,BUY,0.70704,0,0,0,5,PivotLow_Green
2026.06.15 10:15,SELL,0.7074,0,0,0,5,PivotHigh_Red
2026.06.16 08:00,BUY,0.70507,0,0,0,5,PivotLow_Green
2026.06.16 14:00,SELL,0.70777,0,0,0,6,PivotHigh_Red
2026.06.16 17:00,SELL,0.70726,0,0,0,6,PivotHigh_Red
2026.06.17 17:00,SELL,0.70684,0,0,0,6,PivotHigh_Red
2026.06.17 21:30,BUY,0.70432,0,0,0,7,PivotLow_Green
2026.06.17 21:45,BUY,0.70565,0,0,0,7,PivotLow_Green
2026.06.17 22:00,SELL,0.70417,0,0,0,7,PivotHigh_Red
2026.06.18 00:01,SELL,0.70115,0,0,0,7,PivotHigh_Red
2026.06.18 03:30,SELL,0.70248,0,0,0,7,PivotHigh_Red
2026.06.18 06:00,SELL,0.7036,0,0,0,7,PivotHigh_Red
2026.06.18 12:30,BUY,0.70117,0,0,0,7,PivotLow_Green
2026.06.18 18:15,SELL,0.70269,0,0,0,7,PivotHigh_Red
2026.06.18 20:30,SELL,0.70233,0,0,0,8,PivotHigh_Red
2026.06.18 23:00,SELL,0.70131,0,0,0,8,PivotHigh_Red
2026.06.19 08:15,BUY,0.69927,0,0,0,9,PivotLow_Green
2026.06.19 10:45,BUY,0.70108,0,0,0,9,PivotLow_Green
2026.06.19 16:15,SELL,0.70149,0,0,0,10,PivotHigh_Red
2026.06.22 04:30,SELL,0.70144,0,0,0,10,PivotHigh_Red
2026.06.22 06:15,SELL,0.70086,0,0,0,10,PivotHigh_Red
2026.06.22 13:45,SELL,0.7003,0,0,0,10,PivotHigh_Red
2026.06.23 04:00,SELL,0.69887,0,0,0,11,PivotHigh_Red
